,Company_name,Rating,Map,Phpne,Business_type,Address,Open_time,Website,Extraction Date
0,Unique Furniture Kenya (Nairobi Branch),4.9(153),https://www.google.com/maps/place/Unique+Furniture+Kenya+%28Nairobi+Branch%29/data=!4m7!3m6!1s0x182f110d0720895d:0x71abf2960262f062!8m2!3d-1.3271256!4d36.8501777!16s%2Fg%2F11b5phv7k8!19sChIJXYkgBw0RLxgRYvBiApbyq3E?authuser=0&hl=am&rclk=1,+254 703 639703,የቤት ዕቃዎች መደብር,"·MRFX+5X5 Kelico Complex, Mombasa Road",['N/A'],N/A,2025-04-26
1,Mufasa Furniture and Deco Ltd,5.0(433),https://www.google.com/maps/place/Mufasa+Furniture+and+Deco+Ltd/data=!4m7!3m6!1s0x182f17b92492f74d:0xfc83a5c7dd070fe0!8m2!3d-1.2772352!4d36.8290566!16s%2Fg%2F11qrs_5wxr!19sChIJTfeSJLkXLxgR4A8H3celg_w?authuser=0&hl=am&rclk=1,+254 722 490643,የቤት ዕቃዎች መደብር,·Ytl Building ( Tigoni Centre) 5th Floor,['N/A'],N/A,2025-04-26
2,Tangerine Furniture,4.5(466),https://www.google.com/maps/place/Tangerine+Furniture/data=!4m7!3m6!1s0x182f172a0b099e43:0xfee1fb363ff66139!8m2!3d-1.3355625!4d36.8964344!16s%2Fg%2F11c1pcc5dz!19sChIJQ54JCyoXLxgROWH2Pzb74f4?authuser=0&hl=am&rclk=1,+254 791 708894,የቤት ዕቃዎች መደብር,N/A,['N/A'],N/A,2025-04-26
3,ODDS & ENDS,"4.5(1,461)",https://www.google.com/maps/place/ODDS+%26+ENDS/data=!4m7!3m6!1s0x182f11ec4df7a811:0x10f6d0395e6f0676!8m2!3d-1.3314453!4d36.8634496!16s%2Fg%2F1pzq_14z_!19sChIJEaj3TewRLxgRdgZvXjnQ9hA?authuser=0&hl=am&rclk=1,+254 737 771717,የቤት ዕቃዎች መደብር,·Mombasa Road,['N/A'],N/A,2025-04-26
4,Victoria Furnitures Ltd,4.3(424),https://www.google.com/maps/place/Victoria+Furnitures+Ltd/data=!4m7!3m6!1s0x182f171506626589:0x24f57d78ef7c71f3!8m2!3d-1.2627815!4d36.8058661!16s%2Fg%2F1pztnmcd6!19sChIJiWViBhUXLxgR83F873h99SQ?authuser=0&hl=am&rclk=1,+254 705 918145,የቢሮ ዕቃዎች መደብር,"·Victoria Courts, Parklands Rd",['N/A'],N/A,2025-04-26
5,Furniture Palace (Int) K Ltd.,4.2(214),https://www.google.com/maps/place/Furniture+Palace+%28Int%29+K+Ltd./data=!4m7!3m6!1s0x182f11ead1d17175:0x75b5ff5b432e720f!8m2!3d-1.3261968!4d36.8485822!16s%2Fg%2F11g9vsyh_f!19sChIJdXHR0eoRLxgRD3IuQ1v_tXU?authuser=0&hl=am&rclk=1,+254 722 201201,የቤት ዕቃዎች መደብር,"·DTB Centre, Mombasa Road",['N/A'],N/A,2025-04-26
6,Naifur designs(Nairobi furniture),4.8(24),https://www.google.com/maps/place/Naifur+designs%28Nairobi+furniture%29/data=!4m7!3m6!1s0x182f6dbffcca1ee7:0x9f8dacc3dad409b1!8m2!3d-1.2865629!4d36.9790609!16s%2Fg%2F11qpm4yl_7!19sChIJ5x7K_L9tLxgRsQnU2sOsjZ8?authuser=0&hl=am&rclk=1,+254 791 374385,የቤት ዕቃዎች መደብር,·Bakhita - Crescent Road,['N/A'],N/A,2025-04-26
7,Furniture Elegance Ltd,4.4(39),https://www.google.com/maps/place/Furniture+Elegance+Ltd/data=!4m7!3m6!1s0x182f1729c27bee91:0xdb9ff6be6c624ffc!8m2!3d-1.276993!4d36.821598!16s%2Fg%2F1thzy83m!19sChIJke57wikXLxgR_E9ibL72n9s?authuser=0&hl=am&rclk=1,+254 702 842500,የቤት ዕቃ አከፋፋይ,·Murang'a Rd,['N/A'],N/A,2025-04-26
8,Royalview Furniture kenya,4.2(5),https://www.google.com/maps/place/Royalview+Furniture+kenya/data=!4m7!3m6!1s0x182f17a2daf5cd13:0x5ad5404fc323e4c7!8m2!3d-1.2777006!4d36.8291119!16s%2Fg%2F11h_wn20pz!19sChIJE8312qIXLxgRx-Qjw09A1Vo?authuser=0&hl=am&rclk=1,+254 726 429320,የቤት ዕቃዎች መደብር,"·Nellea plaza, Ngara Rd","['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
9,Dignity Furniture Showroom - Langata Branch,4.5(319),https://www.google.com/maps/place/Dignity+Furniture+Showroom+-+Langata+Branch/data=!4m7!3m6!1s0x182f11627b287db5:0xff4663b902fe0cec!8m2!3d-1.3293537!4d36.804747!16s%2Fg%2F11g0tv3jhk!19sChIJtX0oe2IRLxgR7Az-ArljRv8?authuser=0&hl=am&rclk=1,+254 754 666333,የቤት ዕቃዎች መደብር,·Langata Rd,"['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
10,Furniture Palace (Int) K Ltd - 96 Riverside,4.2(241),https://www.google.com/maps/place/Furniture+Palace+%28Int%29+K+Ltd+-+96+Riverside/data=!4m7!3m6!1s0x182f175b4759c699:0x9d867b191e972a20!8m2!3d-1.2691716!4d36.7916711!16s%2Fg%2F11c713f0xv!19sChIJmcZZR1sXLxgRICqXHhl7hp0?authuser=0&hl=am&rclk=1,+254 780 501503,የቤት ዕቃዎች መደብር,N/A,"['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
11,Victoria Homestore - Westlands HQ,"4.9(1,187)",https://www.google.com/maps/place/Victoria+Homestore+-+Westlands+HQ/data=!4m7!3m6!1s0x182f1733836665dd:0x20e4df656c9483f!8m2!3d-1.262745!4d36.8058967!16s%2Fg%2F11jnvr0hbx!19sChIJ3WVmgzMXLxgRP0jJVvZNDgI?authuser=0&hl=am&rclk=1,+254 709 120120,የቤት ዕቃዎች መደብር,"·Westlands, Parklands road","['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
12,Palais Eleganza,4.8(88),https://www.google.com/maps/place/Palais+Eleganza/data=!4m7!3m6!1s0x182f10bdfea4585b:0x904eceb606f5bb8b!8m2!3d-1.2948128!4d36.7976796!16s%2Fg%2F11cn94d32d!19sChIJW1ik_r0QLxgRi7v1BrbOTpA?authuser=0&hl=am&rclk=1,+254 724 132218,የቤት ዕቃዎች መደብር,N/A,"['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
13,Furniture Palace Kenya - Avenue 19,4.4(172),https://www.google.com/maps/place/Furniture+Palace+Kenya+-+Avenue+19/data=!4m7!3m6!1s0x182f193d76689f6f:0x21d4b9f8af0c0220!8m2!3d-1.2650384!4d36.763423!16s%2Fg%2F11j8sn_8ll!19sChIJb59odj0ZLxgRIAIMr_i51CE?authuser=0&hl=am&rclk=1,+254 101 505507,የቤት ዕቃዎች መደብር,"·Avenue 19, off Musa Gitau Rd","['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
14,Kenty Furnitures | Recliner Seats for sale Nairobi Kenya | Outdoor furniture Nairobi,5.0(36),https://www.google.com/maps/place/Kenty+Furnitures+%7C+Recliner+Seats+for+sale+Nairobi+Kenya+%7C+Outdoor+furniture+Nairobi/data=!4m7!3m6!1s0x182f135fa3545a2f:0xdc5ee4a67d96edea!8m2!3d-1.2700616!4d36.9775368!16s%2Fg%2F11fmqbc_1d!19sChIJL1pUo18TLxgR6u2WfabkXtw?authuser=0&hl=am&rclk=1,+254 723 475148,የቢሮ ዕቃዎች መደብር,"·Rubis Utawala, Utawala Along Eastern Bypass","['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
15,Fairdeal Furniture/Ashley Furniture HomeStore - Sarit Center Mall,4.8(193),https://www.google.com/maps/place/Fairdeal+Furniture%2FAshley+Furniture+HomeStore+-+Sarit+Center+Mall/data=!4m7!3m6!1s0x182f1723d6108eeb:0xd0195dc030d6c807!8m2!3d-1.2614886!4d36.8039368!16s%2Fg%2F11hy_wy6zq!19sChIJ644Q1iMXLxgRB8jWMMBdGdA?authuser=0&hl=am&rclk=1,+254 105 101010,የቢሮ ዕቃዎች መደብር,·Karuna Rd,"['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
16,The Furniture Guys Nairobi,5.0(15),https://www.google.com/maps/place/The+Furniture+Guys+Nairobi/data=!4m7!3m6!1s0x182f1122e452e23f:0x7f11a1e90738b927!8m2!3d-1.3047326!4d36.8878108!16s%2Fg%2F11srr0wgjm!19sChIJP-JS5CIRLxgRJ7k4B-mhEX8?authuser=0&hl=am&rclk=1,+254 114 125620,የቤት ዕቃዎች መደብር,·Outer Ring Rd,"['ቅዳሜ: 7ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 7ጥዋት–7ከሰዓት', 'ማክሰኞ: 7ጥዋት–7ከሰዓት', 'ረቡዕ: 7ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 7ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 7ጥዋት–7ከሰዓት']",http://www.naifurdesigns.com/,2025-04-26
17,Little Cribs,4.5(170),https://www.google.com/maps/place/Little+Cribs/data=!4m7!3m6!1s0x182f1a111a64d3fb:0x297b24dd5fb00d92!8m2!3d-1.260611!4d36.801423!16s%2Fg%2F1ptwc0lvj!19sChIJ-9NkGhEaLxgRkg2wX90keyk?authuser=0&hl=am&rclk=1,+254 706 395631,የቤት ዕቃዎች መደብር,N/A,"['ቅዳሜ: 10ጥዋት–7ከሰዓት', 'እሑድ: 10ጥዋት–6ከሰዓት', 'ሰኞ: 10ጥዋት–7ከሰዓት', 'ማክሰኞ: 10ጥዋት–7ከሰዓት', 'ረቡዕ: 10ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 10ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 10ጥዋት–7ከሰዓት']",N/A,2025-04-26
18,"Joyhome Furniture Store, Nairobi",4.6(29),"https://www.google.com/maps/place/Joyhome+Furniture+Store,+Nairobi/data=!4m7!3m6!1s0x182f110351c26fcb:0x9e4626b1d2224371!8m2!3d-1.3232573!4d36.8441332!16s%2Fg%2F11tn7hnypy!19sChIJy2_CUQMRLxgRcUMi0rEmRp4?authuser=0&hl=am&rclk=1",+254 790 811811,የቤት ዕቃዎች መደብር,·Nextgen Mall,"['ቅዳሜ: 9:30ጥዋት–6ከሰዓት', 'እሑድ: 10ጥዋት–3ከሰዓት', 'ሰኞ: 9:30ጥዋት–6ከሰዓት', 'ማክሰኞ: 9:30ጥዋት–6ከሰዓት', 'ረቡዕ: 9:30ጥዋት–6ከሰዓት', 'ሐሙስ(Labour Day): 9:30ጥዋት–6ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 9:30ጥዋት–6ከሰዓት']",https://joyhomefurniture.co.ke/,2025-04-26
19,Furniture Palace (Intl) Kenya Ltd,4.2(19),https://www.google.com/maps/place/Furniture+Palace+%28Intl%29+Kenya+Ltd/data=!4m7!3m6!1s0x182f1b7b20b13c9d:0x4b957956aafa0cd!8m2!3d-1.3204193!4d36.7042895!16s%2Fg%2F11f57fjczg!19sChIJnTyxIHsbLxgRzaCvapVXuQQ?authuser=0&hl=am&rclk=1,+254 780 501501,የቤት ዕቃዎች መደብር,·Nairobi KE Dagoretti Road,"['ቅዳሜ: 10:30ጥዋት–8ከሰዓት', 'እሑድ: 10:30ጥዋት–7ከሰዓት', 'ሰኞ: 10:30ጥዋት–8ከሰዓት', 'ማክሰኞ: 10:30ጥዋት–8ከሰዓት', 'ረቡዕ: 10:30ጥዋት–8ከሰዓት', 'ሐሙስ(Labour Day): 10:30ጥዋት–8ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 10:30ጥዋት–8ከሰዓት']",N/A,2025-04-26
20,Furniture & Garden,5.0(46),https://www.google.com/maps/place/Furniture+%26+Garden/data=!4m7!3m6!1s0x182f3fc76bbee56d:0xc29fe9f0be9e61d2!8m2!3d-1.2088334!4d36.8782721!16s%2Fg%2F11sjgbkx5m!19sChIJbeW-a8c_LxgR0mGevvDpn8I?authuser=0&hl=am&rclk=1,+254 712 890435,የቤት ዕቃዎች መደብር,N/A,"['ቅዳሜ: 9ጥዋት–7ከሰዓት', 'እሑድ: Closed', 'ሰኞ: 9ጥዋት–7ከሰዓት', 'ማክሰኞ: 9ጥዋት–7ከሰዓት', 'ረቡዕ: 9ጥዋት–7ከሰዓት', 'ሐሙስ(Labour Day): 9ጥዋት–7ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 9ጥዋት–7ከሰዓት']",https://furnitureandgarden.co.ke/,2025-04-26
21,Rosewood Furniture Manufacturers Limited,4.5(73),https://www.google.com/maps/place/Rosewood+Furniture+Manufacturers+Limited/data=!4m7!3m6!1s0x182f173bda51eb87:0xd0dc81c5112bc25b!8m2!3d-1.2704757!4d36.8075865!16s%2Fg%2F11b75dn_hw!19sChIJh-tR2jsXLxgRW8IrEcWB3NA?authuser=0&hl=am&rclk=1,+254 722 205134,የቢሮ ዕቃዎች መደብር,"·After the Mirage, Business Park, Chiromo Rd","['ቅዳሜ: Closed', 'እሑድ: Closed', 'ሰኞ: 8ጥዋት–5:30ከሰዓት', 'ማክሰኞ: 8ጥዋት–5:30ከሰዓት', 'ረቡዕ: 8ጥዋት–5:30ከሰዓት', 'ሐሙስ(Labour Day): 8ጥዋት–5:30ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 8ጥዋት–4:30ከሰዓት']",http://www.rosewood.co.ke/,2025-04-26
22,Odds & Ends,4.2(325),https://www.google.com/maps/place/Odds+%26+Ends/data=!4m7!3m6!1s0x182f174865541887:0x760dc7ce882408e2!8m2!3d-1.2620809!4d36.8043659!16s%2Fg%2F1pzrn4cgz!19sChIJhxhUZUgXLxgR4ggkiM7HDXY?authuser=0&hl=am&rclk=1,+254 737 771414,የቤት ዕቃዎች መደብር,"·Corner Plaza, Parklands Rd","['ቅዳሜ: 9ጥዋት–4:30ከሰዓት', 'እሑድ: 11ጥዋት–4ከሰዓት', 'ሰኞ: 9ጥዋት–5:30ከሰዓት', 'ማክሰኞ: 9ጥዋት–5:30ከሰዓት', 'ረቡዕ: 9ጥዋት–5:30ከሰዓት', 'ሐሙስ(Labour Day): 9ጥዋት–5:30ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 9ጥዋት–5:30ከሰዓት']",https://www.oddskenya.com/,2025-04-26
23,OCEANIA FURNITURE,4.9(19),https://www.google.com/maps/place/OCEANIA+FURNITURE/data=!4m7!3m6!1s0x182f177df2fb8647:0xe0237988db58875c!8m2!3d-1.270416!4d36.8311107!16s%2Fg%2F11np0rp4h_!19sChIJR4b78n0XLxgRXIdY24h5I-A?authuser=0&hl=am&rclk=1,+254 706 325885,የቤት ዕቃዎች መደብር,·Murang'a Road (Before Seldom Hotel) adjacent to Matuto Mwalimu Motors,"['ቅዳሜ: 8ጥዋት–6ከሰዓት', 'እሑድ: Closed', 'ሰኞ: 8ጥዋት–6ከሰዓት', 'ማክሰኞ: 8ጥዋት–6ከሰዓት', 'ረቡዕ: 8ጥዋት–6ከሰዓት', 'ሐሙስ(Labour Day): 8ጥዋት–6ከሰዓትሰዓታት የተለያዩ ሊሆኑ ይችላሉ', 'ዓርብ: 8ጥዋት–6ከሰዓት']",https://www.instagram.com/oceania_furniture?igsh=MTI3YmFkN2VuOHlrZg==,2025-04-26
