Job_titles,Hiring_companies,Locations,Job_types,Job_links
Night Shift Customer Support Officer,Chapa,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4198222047/?eBP=CwEAAAGV-8MpsqUa1QsX67nhB9UEmCWO3AENiiBRWuh5NqtBJ-R8c6u6nFDtd5HqORDGXX9oo-bFMNxvp4BVf5qqc80E4CEdc0RzHUf_bpw3Zm_xWYUTGMdWP1_2X1R8D3P_vvp1AM7kPek96pOW8zvH4S6SJsE4JKDTaB2HTPTR3ACG2tldOmulP9GiDkFhop111lksNe1-m6XRKY34-QK3fSkxtwkwzFldMcA8XvIKuY_VxUyMya6zqtRIDIcVl00197F7WBLF_QDOzBusS513194d2_0qtCVFMuMsIEuB9aA3cYEeY-EPLkEfrz1n-TL9Zwio6b-r_PD4C7y_wWl3TRWll-sZISa3fADtg3Z77SO74lJ8SzYVYq8cd0KFBxUW9r8-G5Rc6uRTyjE6UF0GQSHscE77SEHhD132xS_iyWkO4wjW2x9FsXLkXvMreO0VdD_Jh1R1QIeHlbmNyb54-w&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=otuYQuys9lpHtIQxnidpTQ%3D%3D&trk=flagship3_search_srp_jobs&lipi=urn%3Ali%3Apage%3Ad_flagship3_search_srp_jobs%3BWfhbkQu9SzWj8pjiXUNRWg%3D%3D&lici=otuYQuys9lpHtIQxnidpTQ%3D%3D
Agrochemical Business Manager - Ethiopia,"EASTCHEM CO., LTD.","Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197044613/?eBP=CwEAAAGV-8MpssxpA-2EbqCOi2-hYE_p219FJZ1BzZsD1FwtoA3TXgcqOAvVRAd7WKTJtOfaXUofBWN1Un8ZuQgc4jn3Fa_Mh8Ky3rWY3HzDm4gkSYHbaXUmnMvGvb7iC-tq9DlReZNGOts3EoH9-NGwoyJLHBlSNiEzrhN9y-oaWnc8peH1oOv5lFz4LneFPHZft5mmwwENG_FtyBSdMGQILFA-doHxOdQ2278seetfRDP1QaIDMAiGzyr-f-t4-ev67j7HZLQvbYowFmdz2mvUDnxyCp_ttC7W04wem-GR0gjbd-J06VRNsMBogG-apctMprnCKTnjW8wNE9qZrj6rZVy3vii-s2wf_3h__hGcTqjQTFgMGocPxVb8bN5PoDuSbwKi2rS3yIy4WL3n9Q_G7ajujaTqhBcy4VJH917diq7kRSc92YPweTc8VYz0pBYyY3zeI6hR2LKOjkXg0EJUFG15RoE5Jc-mSUYDTJe5fr5RIIK5Cdqmgg2MjqbQs7em4QpRvWWZiw&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=1%2BDldjUKu7Kp%2BqBMg1P%2BiA%3D%3D&trk=flagship3_search_srp_jobs
Business Application Supervisor,ethioTelecom,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199089687/?eBP=CwEAAAGV-8MpsnQhLhf_xTV-5gFmUy4lVHUhGCsYvw_NGNzgMdPnhdWj5P9_r_L0htiaes8KTl8stsTDCQTdOJtDyNNWkA2ggzdhiwVQ0fY_gp1vNK6s0-RnLKsIz2vgTCUbAvVslbNwVkKosIbu5BCL_pCiPUixVW155mP8v4OJjW6pXNEZiGOJbeW6HmigVIp3tvRWxcsCgO-h5A1MkGU5NgTyA6iYd4RMawDFj9Pi_yEBAWn1iO31l4n4XrS8QRZoztiVC7fqSZby0aYFmxXeBBgZvlrgg_T4bFIPm0FzDf-oeTNgJaneQDJZ2PbQ3L7ZdqZHtk61-H9EEyHWTKs8Wq0tCPROHkhxPlotD79HyTHXgZtFnDrFAjQTpMyAQ70RaAkcAeJc0y0uNZ9srg1JE7rWb3jk4nvUHiRtNMynpFd1qXFCCQqZ3Fy_71gdupGy6G8F1XUF4lyts-4n5pTYJDWAfK4Ej1jbeqGlfB0SYBgkGJtyXxfcdOKvj3OS81BcKQQ&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=ygsoQlCDX5W6UtPwaZ%2Fdjg%3D%3D&trk=flagship3_search_srp_jobs
Database Administrator,micro1,EMEA,Remote,https://www.linkedin.com/jobs/view/4197081103/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=dijcU%2Fkm8gGr99TZ9Y304g%3D%3D&trk=flagship3_search_srp_jobs
Real estate  Supervisor,real state,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4199547524/?eBP=CwEAAAGV-8MpsvNgCnX7yovfIOazbwn9UHDjV6OQuKh-c4ikndkS06I0yO5Vxr3qdVeBz0U6ZUbvB_CB-iW3pN-Wu_1sI4ZzKNk3vX68RBniMkvYlvLYPcs_ij6_dzfHiQVvJBC2M2Fis1qyF_BdkyMI78PgFTt3Kqe55vAwrwbXWHMjwniZK-QzpicwnHFaxUuo84H-2ln6LsC0hkNn9EWbQ1bJ6KJppFgp8o2lPGmf3ThmpGE9pmdimdL3lY1IrTKtRexjGaAFs_RdzZDvua6cr79JubGKpSa11EcNJkexCu1vNxGdkK_lHO1HeIeBAmepwM9gFpBVHQjdt2zEgMDCHCb5YZQf0hz1xSK_6ncsgNTT9ME6vArGqjIGyp_pcnUDGTehAm80tKvkHUqa2PPZuqoVblVpAR4oTfX_0RLE5jZISKY3pCrigQIW2cLFDWO-j7L4mH3fqYuJahHeYcrH3Q&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=VGzfRLx4zUGlnon37LRSEg%3D%3D&trk=flagship3_search_srp_jobs
Sales Service Representative,AACTS Cloud,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/3991360507/?eBP=CwEAAAGV-8Mps0XwkOcg_UoOH2EW7IXy9PF9qOnD5QT3612Q9jYoO_Da3U7nRawLKYYv3hNO0hOhX4Wqw0fIfrezoEFElgTXFQvIPim_Gv0l4gz5EL_xEd6Q_CInG1T4z8ylrPowOvESJMn_4hMGVsqR3h1wUGXB7Ny-ThdxbRaPtzCF5Rooybv4C2BGEcbOgbwfP0_0rGHcdiNOjmEelkhJ63OCl-8URvPmChfaMuWgvL-xnsG9a48yTNBUAo_upWChaFYo3z_CPxt87saVL5t8OLxG9FdIH2_knQzuHTLb1lAf_w4PH-GXGHe-1LGp9n3VBO1mUXd16I8BsR6RbDwppNj5SvHMJukK28vmBz7ojCjL2-_1umKgZmL-wKhebrSIHEmv-xXWrEMVDenANX1tKNSeU9GZq2r9SI3nwCPLkAFr56DCTfg_87Yv7VC5gPtUi35Vhiqq0O0RByiwMQM&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=HUW6WeXHCtASrkhLWa0ieQ%3D%3D&trk=flagship3_search_srp_jobs
Waiter/ess - DT Addis Ababa,Hilton,"Addis Ababa, Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4094961549/?eBP=CwEAAAGV-8MpswhebXOoL6eG6gz3r8LNNDo_Sm1JwoMXV9dhYgrnT0y96cMiXmhFXkPHvGEI0XuYF0PkJwvI61PmK37IYAFEKk4Uu0sazyrBFSKLODGPcR7R2E48X93n01GuQ4rpN-1tk32ZLV8dKJ8PN6hwtqLnoQv8Fj1Hl7gpTr562IhssfKw0wbiVFMiwxq3SdQbfHGlMLOaLHYhUY8gdkemLZTwPeZukwc9J5H5sV4w6_xXNM9qlXTTjSvypCABmUaYXRR-e8OxJk5Ny7fdHWFeaWfEc7WCIhHKRgYTTC0rolcDNsXTqMVXM7C5aqYMmMPs4mhYXinePE-Kf_ynIFH485SqLZQoQ0YXJtFAbF0Ba6u2T9CqZO2mOp0D1nlMY3t-QhbgOCCR1kVkEapHUGGc0l-1HKtLP3-gR4_eyo02bQUNzAZsGWF5XthBU9DrLvazVbYdFVk8FFdouF1n0vN9fShidzEYWkJF-vNnLdw21s9gpqhNiJtKVd58zzcHikR_pZFlB9Jw&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=geebb1oFMog33erGm%2BGBYQ%3D%3D&trk=flagship3_search_srp_jobs
Sales Professional,krinfud Digitals Marketing and communications,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4196290638/?eBP=CwEAAAGV-8Mpsw9-J0rW8XiSq416Zzr51g4rGyu_JxYMvGr3HoXJj5Z4xTunbYYV24Bp5h5btXqXk5mcZ0JHE9Ls2jM-9xjoerMM1tnzVL6_xSGNvqKVizLsF6QAL3MwLyXemvMft9DY8ElGt5UOQcoR-hJdH-I1bFHzAGAY49qDUHVDUphyGxV8SQc0OuLp0pnJ0pGykiRo5am-awdeLHLxZI0DMIbgDSUWKWBTPhwX1YkU0-XEy2d3LEiRY0qi8nMqLNICMv-cxvBgkWLMbe6RQkqeRLpR_wUWpu9BwsBRaGnIKsrHBvUIrg2RL_wOGx5cdhC10V_6hySEYd481ygihF0NKnJKf2ndDpdLO0htZ2TkV3cqJLzTrOX2S-sOPl007qlHQrH82wJQWsRZzZUHkhOASOnbjMztgmGfDt0PiHfP13BV0LipjyCIAFFFSGHRWXMpFyBMl8qyJv4mBwFfxg&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=UqZBtcjpMc8xzp9zGAdsYg%3D%3D&trk=flagship3_search_srp_jobs
Lecturer,rift valley university,"Addis Ababa, Ethiopia",On-site,https://www.linkedin.com/jobs/view/4197543873/?eBP=CwEAAAGV-8Mps4oeQVgbwUuK8B5JinNIH_H8ioIqFfTck1nitSQiQ_RKXhxaBBsdhv3kEGNGYP91A3UagHlAfVIV0C26Jh-BnOIk5juu7ms7y6xld1KD0o_yQSFjjxg3N9emy3_yzX6RRgjDLPJIrnWayCMP38Jlq0z1wye0z1D7dD_ywKtcqdXHujFsntBTqsx7ODsy4KyXqRPwkBkXIMLwgJmXJw_VxEH8L8c1QTRBBP-UgBLZRsxog4QICOb8MMtz5MWWon9NJMnP2LJ7NM5PlFXniYlQZeDmfC6I3PxI9mUWbofYsG3UbX-DQosXdsB9_Zfs3g-dwXxz2biXHbBFh6e08S_PCCDAtAf-wS8BN4ycbiICCMaISYcaIrYnmadxQKzViNtpkXPQUcpDB18MzUicWQfJ0d4D6aeopst5jcuO8ZTRMg3hI0GpVGFClqeS8ytfFFY_mrH1YU_fHSs&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=lteZp56LfkvHnEicJjyysg%3D%3D&trk=flagship3_search_srp_jobs
AI Training [Remote] - Coders,Braintrust,EMEA,Remote,https://www.linkedin.com/jobs/view/4195721432/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=w%2BiKr66%2FGuOBuDA35O6hLg%3D%3D&trackingId=Jie5IzUKJM3RClpls4eEFA%3D%3D&trk=flagship3_search_srp_jobs
